state,date,cases,growth,growth_cumulated
burgenland,2020-02-24,0,0,0
burgenland,2020-02-25,0,0,0
burgenland,2020-02-26,0,0,0
burgenland,2020-02-27,0,0,0
burgenland,2020-02-28,0,0,0
burgenland,2020-02-29,0,0,0
burgenland,2020-03-01,0,0,0
burgenland,2020-03-02,0,0,0
burgenland,2020-03-03,0,0,0
burgenland,2020-03-04,0,0,0
burgenland,2020-03-05,0,0,0
burgenland,2020-03-06,0,0,0
burgenland,2020-03-07,0,0,0
burgenland,2020-03-08,0,0,0
burgenland,2020-03-09,4,4,0
burgenland,2020-03-10,4,0,4
burgenland,2020-03-11,4,0,4
burgenland,2020-03-12,6,2,4
burgenland,2020-03-13,7,1,6
burgenland,2020-03-14,10,3,7
burgenland,2020-03-15,10,0,10
burgenland,2020-03-16,10,0,10
burgenland,2020-03-17,11,1,6
burgenland,2020-03-18,20,9,7
burgenland,2020-03-19,29,9,16
burgenland,2020-03-20,33,4,23
burgenland,2020-03-21,54,21,26
burgenland,2020-03-22,63,9,44
burgenland,2020-03-23,71,8,53
burgenland,2020-03-24,84,13,61
burgenland,2020-03-25,89,5,73
burgenland,2020-03-26,115,26,69
burgenland,2020-03-27,138,23,86
burgenland,2020-03-28,142,4,105
burgenland,2020-03-29,159,17,88
burgenland,2020-03-30,179,20,96
burgenland,2020-03-31,182,3,108
burgenland,2020-04-01,185,3,98
burgenland,2020-04-02,198,13,96
burgenland,2020-04-03,203,5,83
burgenland,2020-04-04,210,7,65
burgenland,2020-04-05,225,15,68
burgenland,2020-04-06,228,3,66
burgenland,2020-04-07,232,4,49
burgenland,2020-04-08,242,10,50
burgenland,2020-04-09,244,2,57
burgenland,2020-04-10,246,2,46
burgenland,2020-04-11,255,9,43
burgenland,2020-04-12,259,4,45
burgenland,2020-04-13,266,7,34
burgenland,2020-04-14,270,4,38
burgenland,2020-04-15,278,8,38
burgenland,2020-04-16,278,0,36
burgenland,2020-04-17,281,3,34
burgenland,2020-04-18,286,5,35
burgenland,2020-04-19,288,2,31
burgenland,2020-04-20,300,12,29
burgenland,2020-04-21,303,3,34
burgenland,2020-04-22,312,9,33
burgenland,2020-04-23,317,5,34
burgenland,2020-04-24,317,0,39
burgenland,2020-04-25,317,0,36
burgenland,2020-04-26,321,4,31
burgenland,2020-04-27,321,0,33
burgenland,2020-04-28,322,1,21
burgenland,2020-04-29,328,6,19
burgenland,2020-04-30,329,1,16
burgenland,2020-05-01,330,1,12
burgenland,2020-05-02,330,0,13
burgenland,2020-05-03,330,0,13
burgenland,2020-05-04,334,4,9
burgenland,2020-05-05,334,0,13
burgenland,2020-05-06,334,0,12
burgenland,2020-05-07,336,2,6
burgenland,2020-05-08,336,0,7
burgenland,2020-05-09,337,1,6
burgenland,2020-05-10,337,0,7
burgenland,2020-05-11,337,0,7
burgenland,2020-05-12,337,0,3
burgenland,2020-05-13,337,0,3
burgenland,2020-05-14,336,-1,3
burgenland,2020-05-15,336,0,0
burgenland,2020-05-16,336,0,0
burgenland,2020-05-17,337,1,-1
burgenland,2020-05-18,338,1,0
burgenland,2020-05-19,339,1,1
burgenland,2020-05-20,340,1,2
burgenland,2020-05-21,340,0,3
